"Name_val","Cost_Quantity_PriorYear_val","Cost_Quantity_CurrentYear_val","Cost_Quantity_BudgetYearOneBase_val","Cost_Quantity_BudgetYearOneOCO_val","Cost_Quantity_BudgetYearOne_val","Cost_Quantity_BudgetYearTwo_val","Cost_Quantity_BudgetYearThree_val","Cost_Quantity_BudgetYearFour_val","Cost_Quantity_BudgetYearFive_val","Cost_TotalCost_PriorYear_val","Cost_TotalCost_CurrentYear_val","Cost_TotalCost_BudgetYearOneBase_val","Cost_TotalCost_BudgetYearOneOCO_val","Cost_TotalCost_BudgetYearOne_val","Cost_TotalCost_BudgetYearTwo_val","Cost_TotalCost_BudgetYearThree_val","Cost_TotalCost_BudgetYearFour_val","Cost_TotalCost_BudgetYearFive_val","ModsOutYearDelta_Quantity_BudgetYearTwo_val","ModsOutYearDelta_Quantity_BudgetYearThree_val","ModsOutYearDelta_Quantity_BudgetYearFour_val","ModsOutYearDelta_Quantity_BudgetYearFive_val","ModsOutYearDelta_Cost_BudgetYearTwo_val","ModsOutYearDelta_Cost_BudgetYearThree_val","ModsOutYearDelta_Cost_BudgetYearFour_val","ModsOutYearDelta_Cost_BudgetYearFive_val","@ROWID","@RECORDID","@PARENT","@PARENTROWID"
"Army Reserve","","261","1024","","1024","736","958","575","821","","2.512","27.343","","27.343","26.959","27.618","23.618","21.415","","","","","","","","","b99df48762312448f73dd6b18a6d0f3e43eed8fd-2-bf7f1945e8e0ebb24246bc3f08dd66242a748ece","b99df48762312448f73dd6b18a6d0f3e43eed8fd","root","b99df48762312448f73dd6b18a6d0f3e43eed8fd-cfceb2a12c0bb9d9abfa1d35239d134f8ebd7a1e"
"Army Active","","8","63","","63","","","","","0.1","1.956","3.69","","3.69","","","","","","","","","","","","","ba75b97722a73bfbd3f40997f055fd61baf80d99-0-b45892a7395b0afcb11ea64ecba2cc89a3a22ae6","ba75b97722a73bfbd3f40997f055fd61baf80d99","root","ba75b97722a73bfbd3f40997f055fd61baf80d99-afabc2dfeab62cb2642ee2b275cc9cabf4d68b53"
"Army National Guard","","3","53","","53","","","","","","0.819","3.102","","3.102","","","","","","","","","","","","","ba75b97722a73bfbd3f40997f055fd61baf80d99-1-720a4e8a10c43ed04b1dc0612fea2ef7f04b104c","ba75b97722a73bfbd3f40997f055fd61baf80d99","root","ba75b97722a73bfbd3f40997f055fd61baf80d99-afabc2dfeab62cb2642ee2b275cc9cabf4d68b53"
"Army Reserve","","7","26","","26","","","","","","1.71","1.492","","1.492","","","","","","","","","","","","","ba75b97722a73bfbd3f40997f055fd61baf80d99-2-8d2abb89f63e27ee1ef8d8f20cdb16b161f63d6b","ba75b97722a73bfbd3f40997f055fd61baf80d99","root","ba75b97722a73bfbd3f40997f055fd61baf80d99-afabc2dfeab62cb2642ee2b275cc9cabf4d68b53"
"Army Active","","","","","","","","","","13.245","","19.92","","19.92","","","","","","","","","","","","","bb635ac0330e096e3aaf22efd536e0dd44e58b47-0-6182ca678e03c9e6e89da5d0d506875e5cadcde4","bb635ac0330e096e3aaf22efd536e0dd44e58b47","root","bb635ac0330e096e3aaf22efd536e0dd44e58b47-31a1e3f8d3d2b931c23f03418d776e80b03568cb"
"Navy Active","","","","","","","","","","18.616","0.98","0.127","","0.127","","","","","","","","","","","","","bbdb4907e0f60617a03b822d0dee2253b372755b-0-1b51adf46a1937b2f4c4698d2de11cca61b841b2","bbdb4907e0f60617a03b822d0dee2253b372755b","root","bbdb4907e0f60617a03b822d0dee2253b372755b-d90cc453bad5cf7e54ac024ac85fdfc23396565f"
"Navy Reserve","","","","","","","","","","3.084","2.77","0.009","","0.009","0.079","1.84","2.909","2.984","","","","","","","","","bbdb4907e0f60617a03b822d0dee2253b372755b-1-b31147bd32f1506bb670054d4b93f012744a8324","bbdb4907e0f60617a03b822d0dee2253b372755b","root","bbdb4907e0f60617a03b822d0dee2253b372755b-d90cc453bad5cf7e54ac024ac85fdfc23396565f"
"Army Active","","","","","","","","","","27.026","82.616","34.267","","34.267","5.037","7.207","","","","","","","","","","","bcef8d2a84378a9ea2d6e1eba73a0a1973ad8734-0-e58670edaf78c7fe4b7a6412d07401bf59db074a","bcef8d2a84378a9ea2d6e1eba73a0a1973ad8734","root","bcef8d2a84378a9ea2d6e1eba73a0a1973ad8734-0ce8457811ed8665e404e43e0a365a382db057b2"
"Army National Guard","","","","","","","","","","","36.598","53.412","","53.412","3.672","","","","","","","","","","","","bcef8d2a84378a9ea2d6e1eba73a0a1973ad8734-1-241ef6f0c2b381d8eccbff7c4302bf1c09924288","bcef8d2a84378a9ea2d6e1eba73a0a1973ad8734","root","bcef8d2a84378a9ea2d6e1eba73a0a1973ad8734-0ce8457811ed8665e404e43e0a365a382db057b2"
"Army Reserve","","","","","","","","","","17.226","30.349","39.423","","39.423","3.371","","","","","","","","","","","","bcef8d2a84378a9ea2d6e1eba73a0a1973ad8734-2-4c56e280c03121c533fe723876ba2343d0de0e64","bcef8d2a84378a9ea2d6e1eba73a0a1973ad8734","root","bcef8d2a84378a9ea2d6e1eba73a0a1973ad8734-0ce8457811ed8665e404e43e0a365a382db057b2"
"Navy Active","","","","","","","","","","3.906","16.32","14.312","","14.312","30.862","37.617","33.478","32.503","","","","","","","","","bd753c2cfa274f4a99fb70f4850d18b0d47caf2a-0-11f099970771edd43dc777471613f552a30a20ed","bd753c2cfa274f4a99fb70f4850d18b0d47caf2a","root","bd753c2cfa274f4a99fb70f4850d18b0d47caf2a-888aa6156b3009341c0ea31edb66d4c2373c0204"
"Navy Reserve","","","","","","","","","","1.893","3.154","2.869","","2.869","3.194","3.207","3.117","3.179","","","","","","","","","bd753c2cfa274f4a99fb70f4850d18b0d47caf2a-1-9fc506dda1973bc3a43e03236c244be9b132dd30","bd753c2cfa274f4a99fb70f4850d18b0d47caf2a","root","bd753c2cfa274f4a99fb70f4850d18b0d47caf2a-888aa6156b3009341c0ea31edb66d4c2373c0204"
"Army Active","","","","","","","","","","","","","","","","","86.507","138.85","","","","","","","","","bde655fe15a3c219416a3d43adf9c4148df14514-0-e493673aa1014a74a53936dca000b60d384dbda1","bde655fe15a3c219416a3d43adf9c4148df14514","root","bde655fe15a3c219416a3d43adf9c4148df14514-eb0ee54396a9c4e370f0c2a6fcb3f0bdc98bea31"
"Army National Guard","","","","","","","","","","","","46.641","","46.641","46.588","75.714","81.797","71.982","","","","","","","","","bde655fe15a3c219416a3d43adf9c4148df14514-1-c3bb70eb5ff123e46ba406c61cb1774a3fc955d1","bde655fe15a3c219416a3d43adf9c4148df14514","root","bde655fe15a3c219416a3d43adf9c4148df14514-eb0ee54396a9c4e370f0c2a6fcb3f0bdc98bea31"
"Army Active","","","","","","","","","","11.5","5.702","8.809","","8.809","5.127","7.467","2.989","5.517","","","","","","","","","bdfec77950300f384ce51dd26df3b0e2b75ff147-0-1c4506cee8fdccc2aa4f58e517c73fe872107674","bdfec77950300f384ce51dd26df3b0e2b75ff147","root","bdfec77950300f384ce51dd26df3b0e2b75ff147-b4e124292aee04aaf6abed06064e9e28d081b7f8"
"Army National Guard","","","","","","","","","","","3.893","7.357","","7.357","4.168","2.24","7.546","3.934","","","","","","","","","bdfec77950300f384ce51dd26df3b0e2b75ff147-1-9f9afda920b465476cfc891a0b3d265c6afa368b","bdfec77950300f384ce51dd26df3b0e2b75ff147","root","bdfec77950300f384ce51dd26df3b0e2b75ff147-b4e124292aee04aaf6abed06064e9e28d081b7f8"
"Army Reserve","","","","","","","","","","","5.434","","","","8.388","6.818","6.027","6.322","","","","","","","","","bdfec77950300f384ce51dd26df3b0e2b75ff147-2-6197b5a6102b67883a78b73e8c0d512737a7ea65","bdfec77950300f384ce51dd26df3b0e2b75ff147","root","bdfec77950300f384ce51dd26df3b0e2b75ff147-b4e124292aee04aaf6abed06064e9e28d081b7f8"
"Army Active","","","","","","","","","","","","1.138","","1.138","1.577","1.137","1.191","1.983","","","","","","","","","be525f4eb5ab7c746918b0f01eba62fd3f487e11-0-d961a4dc01660b22de3e41a34e1b5ccc2e626109","be525f4eb5ab7c746918b0f01eba62fd3f487e11","root","be525f4eb5ab7c746918b0f01eba62fd3f487e11-08470c7821a24eef7504a7c08aa044bd22b4eb09"
"Army Active","","","","","","","","","","55.354","68.296","34.843","","34.843","36.165","5.5","3.47","","","","","","","","","","be65cf5cd8386e305a03174c4da182ca48433668-0-d68b6d8d54f4d1f8fb8f686d74528b0f8cfb3833","be65cf5cd8386e305a03174c4da182ca48433668","root","be65cf5cd8386e305a03174c4da182ca48433668-d87a9c086305a22004f42953bcde52480af51a67"
"Army National Guard","","","","","","","","","","","","25.836","","25.836","15.626","2.925","","","","","","","","","","","be65cf5cd8386e305a03174c4da182ca48433668-1-efd11b892c648464f04d2c50f5860c869ef24b37","be65cf5cd8386e305a03174c4da182ca48433668","root","be65cf5cd8386e305a03174c4da182ca48433668-d87a9c086305a22004f42953bcde52480af51a67"
"Army Active","","","","","","","","","","31.754","55.062","86.35","","86.35","64.685","26.936","10.756","34.565","","","","","","","","","c081d0ed17f47a8e88ce6ad75b51e2ea7bd60673-0-2572407cafaf75c328896c19f68bb892269a4711","c081d0ed17f47a8e88ce6ad75b51e2ea7bd60673","root","c081d0ed17f47a8e88ce6ad75b51e2ea7bd60673-a28719b7e1e304e17aed233da04018cdc9bec12d"
"Army National Guard","","","","","","","","","","17.538","27.726","33.201","","33.201","31.695","6.016","","","","","","","","","","","c081d0ed17f47a8e88ce6ad75b51e2ea7bd60673-1-ca2e01dc2a788a70e3eb1f73d1b43a24293b472c","c081d0ed17f47a8e88ce6ad75b51e2ea7bd60673","root","c081d0ed17f47a8e88ce6ad75b51e2ea7bd60673-a28719b7e1e304e17aed233da04018cdc9bec12d"
"Army Reserve","","","","","","","","","","22.644","35.812","43.103","","43.103","41.164","7.88","","","","","","","","","","","c081d0ed17f47a8e88ce6ad75b51e2ea7bd60673-2-a14d5e16b6251a9ef5a7b7acb8c47b4fc951186e","c081d0ed17f47a8e88ce6ad75b51e2ea7bd60673","root","c081d0ed17f47a8e88ce6ad75b51e2ea7bd60673-a28719b7e1e304e17aed233da04018cdc9bec12d"
"Army Active","27","55","28","","28","","","","","181.434","401.617","187.177","","187.177","","","","","","","","","","","","","c0d55b67af9a20f0b3deb17ddc5ad8ac906db140-0-eab8333735dbffce4effa9f7aa901fff1ece6e7a","c0d55b67af9a20f0b3deb17ddc5ad8ac906db140","root","c0d55b67af9a20f0b3deb17ddc5ad8ac906db140-0a9d3ce3d10d177f1e0fbc65581f44ecf5ec0bc1"
"Army National Guard","10","","","","","","","","","75","","","","","","","","","","","","","","","","","c0d55b67af9a20f0b3deb17ddc5ad8ac906db140-1-4825baa9be78b384b991df3f2d39c5589161538d","c0d55b67af9a20f0b3deb17ddc5ad8ac906db140","root","c0d55b67af9a20f0b3deb17ddc5ad8ac906db140-0a9d3ce3d10d177f1e0fbc65581f44ecf5ec0bc1"
"Army Active","","","","","","","","","","37.252","1.355","2.216","","2.216","","","","","","","","","","","","","c1b5defee6311dc30c45fa2f7428e388b593d957-0-22dbaa2cf63dc5b3d0ffb081c7642116810fbc3a","c1b5defee6311dc30c45fa2f7428e388b593d957","root","c1b5defee6311dc30c45fa2f7428e388b593d957-2ba267062126ebbbb0a563f00e60da2e5774a935"
"Army Active","","","","","","","","","","1.748","1.522","1.544","","1.544","1.568","1.596","1.625","1.663","","","","","","","","","c3e719bf2d2750ed2b50ef10c9683f1dd777cf29-0-544651320bba81f1b1f4c66dadbac14769ce671e","c3e719bf2d2750ed2b50ef10c9683f1dd777cf29","root","c3e719bf2d2750ed2b50ef10c9683f1dd777cf29-d1deade606f917072c630b258ebade7f06125b96"
"Army Active","","","","","","","","","","1.25","","","","","","","","","","","","","","","","","c46da704ab377fc2989f5358d508ab79764a1880-0-75027ddf30ee1cd732ea316f9ecd98b0b39fe9ea","c46da704ab377fc2989f5358d508ab79764a1880","root","c46da704ab377fc2989f5358d508ab79764a1880-f398bdc022f321333877185060199509b9c2c39d"
"Army Active","","","","","","","","","","","13.999","44.998","5.724","50.722","44.512","56.949","49.242","58.376","","","","","","","","","c4be4d11dfe9ae0fae461bfa668914f4270793b1-0-7e4ab8eeab3af9c32da9ba7cb351ef317260ea81","c4be4d11dfe9ae0fae461bfa668914f4270793b1","root","c4be4d11dfe9ae0fae461bfa668914f4270793b1-f720a4db874a69a619bf8fefee30be8227ff4f77"
"Army National Guard","","","","","","","","","","","","","","","4.72","5.9","11.42","20.08","","","","","","","","","c4be4d11dfe9ae0fae461bfa668914f4270793b1-1-7d8ee37e6cc4977b9b4b26423bc7f217d65e3585","c4be4d11dfe9ae0fae461bfa668914f4270793b1","root","c4be4d11dfe9ae0fae461bfa668914f4270793b1-f720a4db874a69a619bf8fefee30be8227ff4f77"
"Army Reserve","","","","","","","","","","","","","","","","","2.3","","","","","","","","","","c4be4d11dfe9ae0fae461bfa668914f4270793b1-2-faf22340eeea4d28fc24f688b6cd06545f4c39e3","c4be4d11dfe9ae0fae461bfa668914f4270793b1","root","c4be4d11dfe9ae0fae461bfa668914f4270793b1-f720a4db874a69a619bf8fefee30be8227ff4f77"
"Army Active","","","","","","","","","","15.566","1.806","14.878","","14.878","14.865","14.863","16.594","","","","","","","","","","c4cd4446907edd332a8ddc99a936c06dd5058ae1-0-356ef2ee4ca4ff3b7c0bd2457655b571fcba7556","c4cd4446907edd332a8ddc99a936c06dd5058ae1","root","c4cd4446907edd332a8ddc99a936c06dd5058ae1-172efc11ac10871ab9d88dbfcbbd3adaf17e60ca"
"Army National Guard","","","","","","","","","","12.903","0.169","","","","","","","","","","","","","","","","c4cd4446907edd332a8ddc99a936c06dd5058ae1-1-6524b18d8889c254ff92c652b5b1b065a4b08933","c4cd4446907edd332a8ddc99a936c06dd5058ae1","root","c4cd4446907edd332a8ddc99a936c06dd5058ae1-172efc11ac10871ab9d88dbfcbbd3adaf17e60ca"
"Army Active","843","1817","3520","","3520","1577","1708","4635","2383","22.533","24.336","46.583","","46.583","18.444","20.278","26.029","31.069","","","","","","","","","c793fd261245ca3d8131d8db1d7300b7b3d7fd53-0-367d4abe11d0d8a4562fb6730be9e840b091cea4","c793fd261245ca3d8131d8db1d7300b7b3d7fd53","root","c793fd261245ca3d8131d8db1d7300b7b3d7fd53-4b8e6e3bd60ba19d8dc6d092f06c17db504095f4"
"Army National Guard","473","353","1897","","1897","391","1748","1167","1077","21.651","11.052","22.098","","22.098","12.218","12.688","11.968","3.77","","","","","","","","","c793fd261245ca3d8131d8db1d7300b7b3d7fd53-1-443172c754356cf6a9842130b5cdf970ed212de0","c793fd261245ca3d8131d8db1d7300b7b3d7fd53","root","c793fd261245ca3d8131d8db1d7300b7b3d7fd53-4b8e6e3bd60ba19d8dc6d092f06c17db504095f4"
"Army Reserve","357","479","554","","554","1175","675","1220","97","8.049","11.569","5.147","","5.147","14.185","10.856","10.611","0.689","","","","","","","","","c793fd261245ca3d8131d8db1d7300b7b3d7fd53-2-2ff0f07258ee9c3a129b5dcf277bd4986f8441d0","c793fd261245ca3d8131d8db1d7300b7b3d7fd53","root","c793fd261245ca3d8131d8db1d7300b7b3d7fd53-4b8e6e3bd60ba19d8dc6d092f06c17db504095f4"
"Navy Active","","","","","","","","","","3.629","3.913","7.142","","7.142","2.569","0.253","0.059","0.062","","","","","","","","","caeed17ea20f78445665507de632d7a5e5b0e3f8-0-40f5a8b2f7a23fe5956f6865a0439a7715bed2aa","caeed17ea20f78445665507de632d7a5e5b0e3f8","root","caeed17ea20f78445665507de632d7a5e5b0e3f8-a044b3ed6cdeeeb366913661c0a8afe3e4d4f1e1"
"Navy Reserve","","","","","","","","","","0.597","0.619","0.34","","0.34","0.012","0.009","0.006","0.006","","","","","","","","","caeed17ea20f78445665507de632d7a5e5b0e3f8-1-0ad2c53234f17c71b3fc6b499bbfdaf6a94a1acc","caeed17ea20f78445665507de632d7a5e5b0e3f8","root","caeed17ea20f78445665507de632d7a5e5b0e3f8-a044b3ed6cdeeeb366913661c0a8afe3e4d4f1e1"
"Army Active","53","8","27","","27","10","2","","","186.031","99.1","107.532","","107.532","39.305","6.735","","","","","","","","","","","cb5d1fb0edefe12e743a8ccf4ae07abc78644ce4-0-0b81a40fb3e0267f37a95996fb19373924722e59","cb5d1fb0edefe12e743a8ccf4ae07abc78644ce4","root","cb5d1fb0edefe12e743a8ccf4ae07abc78644ce4-40d56a2d499d2d193075879f80c653e83d1d643d"
"Army National Guard","","7","4","","4","14","","","","","23.351","16.097","","16.097","60.253","","","","","","","","","","","","cb5d1fb0edefe12e743a8ccf4ae07abc78644ce4-1-7e5155a85499b61d5a620eebdb69379eb3b7f74d","cb5d1fb0edefe12e743a8ccf4ae07abc78644ce4","root","cb5d1fb0edefe12e743a8ccf4ae07abc78644ce4-40d56a2d499d2d193075879f80c653e83d1d643d"
"Army Active","","5","2","","2","9","11","17","15","9.854","25.394","3.268","","3.268","45.012","47.85","62.003","62.742","","","","","","","","","cc6a75b3f3d84ad7e6f0d45ed392ec4a64114f5c-0-213929fcc7ceb03888be2887d643a57c92a12ff4","cc6a75b3f3d84ad7e6f0d45ed392ec4a64114f5c","root","cc6a75b3f3d84ad7e6f0d45ed392ec4a64114f5c-716f555cfa42f0dc9319068790e33664ff50759e"
"Navy Active","","","","","","","","","","0.105","3.973","4.872","","4.872","24.907","25.245","","","","","","","","","","","ceb7868f9997db9fc2ba0639997fe8764d25dfa7-0-f17315e413526077969e2848865ac382ad7ff035","ceb7868f9997db9fc2ba0639997fe8764d25dfa7","root","ceb7868f9997db9fc2ba0639997fe8764d25dfa7-c0e94a7083578d8797012f02b1331a6ada83847b"
"Navy Reserve","","","","","","","","","","","0.894","","","","","","","","","","","","","","","","ceb7868f9997db9fc2ba0639997fe8764d25dfa7-1-def47158289d37c911c53a8222fe0c468c70ba55","ceb7868f9997db9fc2ba0639997fe8764d25dfa7","root","ceb7868f9997db9fc2ba0639997fe8764d25dfa7-c0e94a7083578d8797012f02b1331a6ada83847b"
"Army Active","8","18","30","","30","22","32","32","32","199.477","247.4","273.85","","273.85","283.864","400.515","397.055","395.243","","","","","","","","","cfba36d0bdc1f7524ff279efac9e86931045c18c-0-da597056fac0b02e8ca949a316996d4a472f9307","cfba36d0bdc1f7524ff279efac9e86931045c18c","root","cfba36d0bdc1f7524ff279efac9e86931045c18c-56b4d100efe4ed14188618d4b030ee41fdced6f1"
"Army National Guard","","","","","","14","28","28","28","","","","","","189.243","267.01","264.703","263.496","","","","","","","","","cfba36d0bdc1f7524ff279efac9e86931045c18c-1-3a619634d6a0dfd7692e90de50774969e5028cc7","cfba36d0bdc1f7524ff279efac9e86931045c18c","root","cfba36d0bdc1f7524ff279efac9e86931045c18c-56b4d100efe4ed14188618d4b030ee41fdced6f1"
"Army Active","","","","","","","","","","","","2.777","","2.777","10.066","11.153","19.387","19.526","","","","","","","","","d00d9a8de76dd5f52c7680bf33847ba1f0d90fdd-0-bdf0d3b86bbb24d12779f6198340debe5503a7a5","d00d9a8de76dd5f52c7680bf33847ba1f0d90fdd","root","d00d9a8de76dd5f52c7680bf33847ba1f0d90fdd-0576d4cfbf011bd31ec91267f916778fb3b367ed"
"Air Force Active","","","","","","","","","","205.396","167.2","106.969","","106.969","184.081","147.998","165.913","213.397","","","","","","","","","d09e7b34c05305b2386b886f8ccf1ea0195f2749-0-885bff468cb44efcfd8c89c74aa7210e2a4428e6","d09e7b34c05305b2386b886f8ccf1ea0195f2749","root","d09e7b34c05305b2386b886f8ccf1ea0195f2749-daa58113d87a438c03629e7ca7aa47770f9cdfb4"
"Air National Guard","","","","","","","","","","26.76","13.007","19.183","","19.183","31.78","30.008","19.646","24.046","","","","","","","","","d09e7b34c05305b2386b886f8ccf1ea0195f2749-1-9c4eb2e745cfda8ef20a09c37d827ca1b7fb233c","d09e7b34c05305b2386b886f8ccf1ea0195f2749","root","d09e7b34c05305b2386b886f8ccf1ea0195f2749-daa58113d87a438c03629e7ca7aa47770f9cdfb4"
"Air Force Active","","","","","","","","","","11.652","6.291","5.833","0","5.833","2.695","2.742","2.79","2.84","","","","","","","","","d17a56e6be017a4c8dcaaee2149f7f252b49f321-0-598a82fe9638a995027ff18258678f3e714afa4f","d17a56e6be017a4c8dcaaee2149f7f252b49f321","root","d17a56e6be017a4c8dcaaee2149f7f252b49f321-90c13392c981c5c94db04a880e15290901ec3b5b"
"Air National Guard","","","","","","","","","","0","0","0","0","0","","","","","","","","","","","","","d17a56e6be017a4c8dcaaee2149f7f252b49f321-1-c99779e4cd21eeeaa060b57b008067a391700a09","d17a56e6be017a4c8dcaaee2149f7f252b49f321","root","d17a56e6be017a4c8dcaaee2149f7f252b49f321-90c13392c981c5c94db04a880e15290901ec3b5b"
"Air Force Reserve","","","","","","","","","","0","0","0","0","0","","","","","","","","","","","","","d17a56e6be017a4c8dcaaee2149f7f252b49f321-2-df4ca65bf43173d016983f202f86a803b3a4eb8c","d17a56e6be017a4c8dcaaee2149f7f252b49f321","root","d17a56e6be017a4c8dcaaee2149f7f252b49f321-90c13392c981c5c94db04a880e15290901ec3b5b"
"Army Active","","","","","","","","","","20.522","39.683","74.085","","74.085","42.15","76.399","506.376","535.815","","","","","","","","","d2ffbf3f105bec90fb28b0df3092c959e54b1945-0-2bb45c768255c3f70408e49c70240ef69f9b954a","d2ffbf3f105bec90fb28b0df3092c959e54b1945","root","d2ffbf3f105bec90fb28b0df3092c959e54b1945-98dfedc00c1bcc15c43b580beb7fdff0c302d45e"
"Army Active","","","","","","","","","","","","9.199","","9.199","10.236","10.297","4.598","","","","","","","","","","d4bbf5f8f13607b441a8f28341975a4baa6c19cc-0-d9227a56a284b9f334e113180702696a21d186a8","d4bbf5f8f13607b441a8f28341975a4baa6c19cc","root","d4bbf5f8f13607b441a8f28341975a4baa6c19cc-6b279278a5914206775e595e9a13e8c628a5fdd4"
"Army National Guard","","","","","","","","","","","","","","","","","4.5","8.425","","","","","","","","","d4bbf5f8f13607b441a8f28341975a4baa6c19cc-1-5e147770c260daf03514ee8cd2abb56edefb259b","d4bbf5f8f13607b441a8f28341975a4baa6c19cc","root","d4bbf5f8f13607b441a8f28341975a4baa6c19cc-6b279278a5914206775e595e9a13e8c628a5fdd4"
"Navy Active","","","","","","","","","","1.972","8.408","7.469","","7.469","11.041","12.086","10.909","11.527","","","","","","","","","d53388ed0e25c13b9f27a86f72b1a6cc88ad33dd-0-3184c266bd2f211563927dfea12bed368537907a","d53388ed0e25c13b9f27a86f72b1a6cc88ad33dd","root","d53388ed0e25c13b9f27a86f72b1a6cc88ad33dd-cfcd18a4af5417a48309053a1b304ba7b6216207"
"Navy Reserve","","","","","","","","","","1.353","3.452","1.667","","1.667","2.549","2.805","3.003","2.667","","","","","","","","","d53388ed0e25c13b9f27a86f72b1a6cc88ad33dd-1-d0fd56e1dacf0b18ceabad082a9c61e3b47f4b43","d53388ed0e25c13b9f27a86f72b1a6cc88ad33dd","root","d53388ed0e25c13b9f27a86f72b1a6cc88ad33dd-cfcd18a4af5417a48309053a1b304ba7b6216207"
"Army Active","","","","","","","","","","17","38.226","48.292","","48.292","42.151","43.515","44.815","45.661","","","","","","","","","d5a01dedeec0cb4fd3499ca241eeb276fcb08d7b-0-b919f01b99b29d2af9cc60b8df9d1266fd56b9ca","d5a01dedeec0cb4fd3499ca241eeb276fcb08d7b","root","d5a01dedeec0cb4fd3499ca241eeb276fcb08d7b-53caccd533728bfd87fa0cd5a7ad9402439fc5a9"
"Army Active","","","","","","","","","","0.824","0.87","0.881","","0.881","0.892","0.907","0.924","0.94","","","","","","","","","d6c6ef56320085895b022f16bd9833ec18173aea-0-064562220c4d999b3b91ee5c050ef7359fa90bee","d6c6ef56320085895b022f16bd9833ec18173aea","root","d6c6ef56320085895b022f16bd9833ec18173aea-0e23631c63efd43f11676901d36061e8edfa41cb"
"Army Active","","","","","","","","","","43.284","29.242","28.278","0.7","28.978","27.549","42.423","45.096","14.098","","","","","","","","","d7020d92b2962bea7dce03ed689428a3328f384a-0-1d5a7ea43d36fef1ee5abeb4657bf83511c02736","d7020d92b2962bea7dce03ed689428a3328f384a","root","d7020d92b2962bea7dce03ed689428a3328f384a-05590dff6ee45fd4857b9674ecd0d016652bfffd"
"Army National Guard","","","","","","","","","","0.992","1.4","","","","0.264","0.264","0.264","0.269","","","","","","","","","d7020d92b2962bea7dce03ed689428a3328f384a-1-4e5a23d97ace093a02395cc0f1f557b4f9239de2","d7020d92b2962bea7dce03ed689428a3328f384a","root","d7020d92b2962bea7dce03ed689428a3328f384a-05590dff6ee45fd4857b9674ecd0d016652bfffd"
"Army Reserve","","","","","","","","","","0.401","0.132","","","","","","","","","","","","","","","","d7020d92b2962bea7dce03ed689428a3328f384a-2-e802bcf0e5c35aef09b4d77c1b867ab5764674e1","d7020d92b2962bea7dce03ed689428a3328f384a","root","d7020d92b2962bea7dce03ed689428a3328f384a-05590dff6ee45fd4857b9674ecd0d016652bfffd"
